courier_id,vehicle,on_lat,on_lng,on_time,off_time
1,motorcycle,6.259147913549292,-75.6122151017189,00:00:00.874988,23:58:00.696038
2,motorcycle,6.211289843339806,-75.57226628065109,00:00:00.874997,23:37:00.936477
3,walking,6.234469868341968,-75.605928003788,00:00:00.875002,09:02:02.902300
4,car,6.198524987581379,-75.5756351351738,00:00:00.875007,21:32:02.995604
5,motorcycle,6.183643639654896,-75.65456718206406,00:00:00.875011,23:58:00.695700
6,motorcycle,6.278561342908667,-75.60276836156845,00:00:00.875016,13:20:07.794739
7,car,6.173606143863914,-75.5824264883995,00:00:00.875021,22:29:01.210104
8,motorcycle,6.3002839032442,-75.5494299530983,00:00:00.875026,20:30:05.540210
9,motorcycle,6.300032965849432,-75.58364421129227,00:00:00.875030,21:26:02.928241
10,motorcycle,6.214584980846951,-75.60200124979019,00:00:00.875035,23:58:00.695900
11,motorcycle,6.300547514244776,-75.5710968375206,00:00:00.875040,23:58:00.694838
12,motorcycle,6.311756051211368,-75.58340817689896,00:00:00.875044,00:58:00.698195
13,motorcycle,6.24091566425016,-75.61374396085739,00:00:00.875049,23:58:00.695894
14,motorcycle,6.232003584653931,-75.5526915192604,00:00:00.875053,16:14:03.452760
15,bicycle,6.227623586490587,-75.60538619756699,00:00:00.875058,23:31:00.987443
16,motorcycle,6.211244218358942,-75.57232528924942,00:00:00.875063,23:58:00.695712
17,bicycle,6.222599769152787,-75.60968846082687,00:00:00.875067,18:04:04.843891
18,motorcycle,6.282226549705072,-75.59835880994797,00:00:00.875072,00:00:00.875072
19,bicycle,6.342489545268357,-75.54746121168137,00:00:00.875076,23:58:00.696266
20,bicycle,6.18834808212663,-75.59655636548996,00:00:00.875081,23:48:00.851315
21,motorcycle,6.247483126774007,-75.58893889188766,00:00:00.875085,21:56:01.502589
22,motorcycle,6.334636979116723,-75.56132823228836,00:00:00.875090,23:54:00.807331
23,motorcycle,6.249232084373951,-75.56278198957443,00:00:00.875095,23:58:00.694973
24,bicycle,6.233557368724604,-75.6075319647789,00:00:00.875099,07:11:01.230078
25,motorcycle,6.197222140905481,-75.57505041360855,00:00:00.875104,23:58:00.695665
26,motorcycle,6.103764437039494,-75.62166184186935,00:00:00.875108,23:31:00.984972
