order_id,pick_up_lat,pick_up_lng,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
1,7.105727003894,-73.106638442322,7.104526,-73.125867,00:20:22,00:21:20,00:43:20,00:50:22
2,7.068535,-73.104508,7.099599111464,-73.100512102246,00:34:57,00:44:20,00:54:20,01:34:57
3,7.073233,-73.10216,7.065822,-73.077078,01:12:30,01:14:01,01:34:01,01:48:30
4,7.115105,-73.108987,7.079416753623,-73.115998841822,01:18:14,01:20:11,01:25:11,01:48:14
5,7.073233,-73.10216,7.067986,-73.1037378,01:35:58,01:37:25,01:57:25,02:07:58
6,7.095631,-73.107546,7.112819,-73.116443,05:10:39,05:11:48,05:16:48,05:40:39
7,7.118402,-73.111466,7.0997729,-73.1180597,06:34:51,06:36:07,06:54:07,07:04:51
8,7.118402,-73.111466,7.120345,-73.115235,06:38:46,06:40:07,07:03:07,07:08:46
9,7.119952,-73.109382,7.119077,-73.114194,07:18:28,07:19:48,07:34:48,07:43:28
10,7.123623,-73.111348,7.107014059131,-73.117379844189,07:25:33,07:27:33,07:52:33,07:55:33
11,7.120114,-73.112486,7.1175287,-73.1236638,07:35:33,07:36:30,08:06:30,08:10:33
12,7.123557,-73.110554,7.1288052,-73.1093422,07:46:28,07:47:13,07:57:13,08:03:28
13,7.099928844348,-73.107697958336,7.0919932,-73.1165826,08:00:00,07:04:33,08:09:33,08:30:00
14,7.120008984577,-73.115487842922,7.114377,-73.11388,08:04:30,08:05:30,08:20:30,08:34:30
15,7.123623,-73.111348,7.1120543,-73.1174802,08:07:35,08:09:20,08:31:20,08:37:35
16,7.121507,-73.1208762,7.1046652,-73.1186034,08:17:11,08:18:20,08:48:20,08:47:11
17,7.12005700964,-73.110159664724,7.11755,-73.11227,08:20:52,08:22:20,08:52:20,08:50:52
18,7.111882,-73.119304,7.112402771584,-73.11418030411,08:24:38,08:25:52,08:43:52,08:47:38
19,7.13068300887,-73.112235010698,7.130670092524,-73.124947361648,08:33:39,08:34:22,08:51:22,09:03:39
