order_id,pickup_lat,pickup_lng,delivery_lat,delivery_lng,placement_time,preparation_time,ready_time,drop_off_time
1,4.809653,-75.678488,4.8194611,-75.7005179,08:24:36,08:25:27,08:35:27,08:54:36
2,4.808437,-75.687339,4.806573,-75.680816,08:33:07,08:33:55,08:41:55,09:03:07
3,4.807934,-75.687068,4.8125809,-75.7088707,08:37:13,08:38:23,08:43:23,08:57:13
4,4.807934,-75.687068,4.8018343,-75.6867346,08:45:59,08:47:12,08:57:12,09:05:59
5,4.808411,-75.689017,4.8139062,-75.6933219,08:49:50,08:51:11,09:18:11,09:19:50
6,4.808437,-75.687339,4.834612,-75.665622,08:51:42,08:52:34,09:00:34,09:21:42
7,4.807934,-75.687068,4.799776,-75.688673,09:05:30,09:06:48,09:16:48,09:25:30
8,4.8091097,-75.7415858,4.789833347101,-75.733916592245,09:17:58,09:18:59,09:31:59,09:47:58
9,4.811244,-75.691009,4.8087174,-75.690601,09:30:59,09:33:09,09:48:09,09:52:59
10,4.803890507545,-75.684975055156,4.8129972,-75.7098491,09:35:12,09:35:51,09:45:51,10:08:12
11,4.807934,-75.687068,4.806952,-75.685204,10:02:32,10:03:45,10:13:45,10:15:32
12,4.8074472,-75.6846753,4.80551,-75.68344,10:13:23,10:14:39,10:39:39,10:37:23
13,4.814012,-75.713595,4.802452753771,-75.722366385162,10:15:43,10:17:14,10:32:14,10:47:43
14,4.805889726596,-75.737519860268,4.8100625,-75.7616588,10:35:56,10:37:16,11:02:16,11:05:56
15,4.809182,-75.697816,4.8129399,-75.7137196,10:41:06,10:41:41,11:03:41,11:11:06
16,4.8292183,-75.6770416,4.85026565974,-75.660818405449,10:46:18,10:48:43,11:18:43,11:16:18
17,4.816444581787,-75.69563474628,4.827944,-75.688962,10:49:46,10:54:44,10:59:44,11:19:46
18,4.804041,-75.687057,4.8067428,-75.6899382,10:52:47,10:54:02,10:59:02,11:22:47
19,4.807867,-75.717689,4.8006749,-75.7403289,10:55:56,10:57:09,11:08:09,11:15:56
20,4.811068,-75.691096,4.8038186,-75.7179865,11:00:00,10:10:53,12:05:53,11:30:00
