courier_id,vehicle,start_lat,start_lng,shift_starts_at,shift_ends_at
311515,motorcycle,4.797432519545183,-75.74688345193863,2020-08-20 06:42:00.445631,2020-08-20 21:32:00.496290
392012,motorcycle,4.81273970062643,-75.78287869691849,2020-08-20 07:41:00.544226,2020-08-20 16:03:01.714455
156874,motorcycle,4.823033203254504,-75.67596584558487,2020-08-20 07:55:00.777911,2020-08-20 12:40:01.278885
279639,motorcycle,4.8034322045293365,-75.73762983083725,2020-08-20 07:18:00.562888,2020-08-20 23:05:00.499356
296816,motorcycle,4.826064729761079,-75.69674223661423,2020-08-20 08:08:00.463549,2020-08-20 17:09:01.527136
307801,motorcycle,4.807355952883988,-75.6911364197731,2020-08-20 10:45:00.978381,2020-08-20 12:10:01.228138
328089,motorcycle,4.804816162282336,-75.72929352521896,2020-08-20 11:30:00.803727,2020-08-20 21:37:00.497960
203814,motorcycle,4.819122128505647,-75.70406466722488,2020-08-20 12:01:01.154132,2020-08-20 21:19:00.597428
225447,motorcycle,4.8077158832886155,-75.6845435500145,2020-08-20 11:50:00.768227,2020-08-20 21:03:00.720446
240616,motorcycle,4.826394243511793,-75.73350995779037,2020-08-20 11:44:00.905370,2020-08-20 14:34:01.027639
274640,motorcycle,4.8487707619064295,-75.65819889307022,2020-08-20 10:58:00.711774,2020-08-20 20:51:01.453438
208187,motorcycle,4.812080673125003,-75.73316127061844,2020-08-20 06:19:00.496827,2020-08-20 20:32:00.815212
402620,motorcycle,4.806651300401697,-75.68341165781021,2020-08-20 12:00:02.059370,2020-08-20 21:18:00.699838
324269,motorcycle,4.809153070185964,-75.68388909101486,2020-08-20 10:49:00.810287,2020-08-20 21:51:00.572758
246184,motorcycle,4.7933389448728505,-75.73159486055374,2020-08-20 10:56:00.886505,2020-08-20 21:41:00.509179
150222,motorcycle,4.802225677257489,-75.70527166128159,2020-08-20 00:00:00.522350,2020-08-20 21:37:00.497469
373446,motorcycle,4.83763573185346,-75.67909330129623,2020-08-20 11:06:00.595625,2020-08-20 22:53:00.521064
238046,motorcycle,4.804590572099151,-75.70095866918564,2020-08-20 11:15:00.664721,2020-08-20 21:55:00.532099
307908,motorcycle,4.833567504392718,-75.67224830389023,2020-08-20 10:56:00.886558,2020-08-20 19:33:01.179845
161417,motorcycle,4.81619706028777,-75.69244533777237,2020-08-20 09:35:00.582150,2020-08-20 22:05:00.645783
189815,motorcycle,4.803994912626713,-75.68660348653793,2020-08-20 09:03:00.504251,2020-08-20 18:03:01.185399
339539,car,4.847914026154577,-75.65967410802841,2020-08-20 08:21:00.648265,2020-08-20 16:47:00.741195
353889,motorcycle,4.80906182022423,-75.72579056024551,2020-08-20 08:15:00.867400,2020-08-20 18:42:01.459584
392776,motorcycle,4.817388379232661,-75.68102985620499,2020-08-20 08:21:00.648199,2020-08-20 20:05:00.865151
400452,motorcycle,4.802451267440674,-75.73689490556717,2020-08-20 08:15:00.867539,2020-08-20 23:02:00.406519
274671,motorcycle,4.808628382905987,-75.68550914525986,2020-08-20 07:55:00.777931,2020-08-20 21:51:00.572500
346095,motorcycle,4.821489558068471,-75.69594293832779,2020-08-20 07:55:00.777927,2020-08-20 09:39:00.444739
225509,motorcycle,4.841491042736813,-75.6759712100029,2020-08-20 08:02:00.550870,2020-08-20 21:03:00.720503
396106,motorcycle,4.846768332190557,-75.65679341554642,2020-08-20 15:47:00.995013,2020-08-20 20:11:00.703009
175392,motorcycle,4.8181792122343765,-75.71034103631973,2020-08-20 12:32:00.937548,2020-08-20 23:53:00.448370
366366,motorcycle,4.837313822266218,-75.67879289388657,2020-08-20 12:23:01.057191,2020-08-20 17:00:01.725688
195293,motorcycle,4.833524414133009,-75.67111104726791,2020-08-20 11:45:00.666203,2020-08-20 19:20:01.549646
320346,motorcycle,4.808258313616719,-75.68607777357101,2020-08-20 18:30:01.178254,2020-08-20 21:55:00.532016
158376,motorcycle,4.812856297799762,-75.66191643476486,2020-08-20 13:48:00.842944,2020-08-20 20:56:00.901683
233203,motorcycle,4.805667828591872,-75.74023693799973,2020-08-20 13:54:00.806994,2020-08-20 22:42:00.467510
376830,motorcycle,4.8062761616701195,-75.69577664136887,2020-08-20 17:49:00.879870,2020-08-20 21:55:00.532226
351061,motorcycle,4.810990743026487,-75.69172650575638,2020-08-20 15:01:00.892508,2020-08-20 23:53:00.448272
393476,motorcycle,4.8334128864019945,-75.66521555185318,2020-08-20 11:26:01.079217,2020-08-20 21:09:00.549003
202966,motorcycle,4.807617029163403,-75.685895383358,2020-08-20 12:59:00.919978,2020-08-20 13:53:00.928463
175409,motorcycle,4.830452332087894,-75.68697899580002,2020-08-20 08:44:00.357748,2020-08-20 09:45:00.476393
395995,motorcycle,4.819056225755503,-75.6939634680748,2020-08-20 16:45:00.968578,2020-08-20 17:02:00.716620
345743,motorcycle,4.846935623787068,-75.66809087991714,2020-08-20 10:21:00.513536,2020-08-20 20:02:00.858152
