ORDER_ID + (SELECT NOISE FROM VARS),store_lat,store_lng,user_lat,user_lng,dispatch_at,pickup_at_lb,pickup_at_ub,deliver_at_lb,deliver_at_ub
106234429.0,10.985107006956,-74.811080486123,10.990548,-74.80957,2020-08-16 13:30:06.506262,2020-08-16 13:42:16.000000,2020-08-16 13:52:16.000000,2020-08-16 15:22:00.000000,2020-08-16 15:38:00.000000
106440521.0,11.007195,-74.81788,10.986177630459,-74.794848449528,2020-08-16 21:38:02.251854,2020-08-16 21:37:06.000000,2020-08-16 21:47:06.000000,2020-08-16 21:55:45.000000,2020-08-16 22:11:45.000000
106442806.0,11.015681,-74.82842,11.015334,-74.817245,2020-08-16 21:59:02.360686,2020-08-16 21:58:24.000000,2020-08-16 22:08:24.000000,2020-08-16 22:09:02.000000,2020-08-16 22:25:02.000000
106443287.0,11.015352787409,-74.826565028853,11.02267,-74.856667,2020-08-16 22:16:01.368901,2020-08-16 22:24:43.000000,2020-08-16 22:34:43.000000,2020-08-16 22:13:21.000000,2020-08-16 22:29:21.000000
106436947.0,11.005831,-74.793654,11.000880230194,-74.796732701361,2020-08-16 21:32:03.530172,2020-08-16 21:42:16.000000,2020-08-16 21:52:16.000000,2020-08-16 21:33:28.000000,2020-08-16 21:49:28.000000
106441749.0,11.004805114009,-74.826926078539,11.0008591,-74.824027,2020-08-16 21:48:02.079072,2020-08-16 21:46:52.000000,2020-08-16 21:56:52.000000,2020-08-16 21:58:16.000000,2020-08-16 22:14:16.000000
106435347.0,11.004875,-74.817183,10.995344,-74.809335,2020-08-16 21:36:02.921391,2020-08-16 21:35:19.000000,2020-08-16 21:45:19.000000,2020-08-16 21:26:05.000000,2020-08-16 21:42:05.000000
106431419.0,11.01568190242,-74.82610068319,11.007911,-74.810174,2020-08-16 21:09:04.083260,2020-08-16 21:32:53.000000,2020-08-16 21:42:53.000000,2020-08-16 21:09:56.000000,2020-08-16 21:25:56.000000
106430799.0,11.000600514525,-74.811923804299,11.009809318774,-74.798875786364,2020-08-16 21:17:03.000800,2020-08-16 21:22:16.000000,2020-08-16 21:32:16.000000,2020-08-16 21:07:38.000000,2020-08-16 21:23:38.000000
106436891.0,11.004614,-74.802256,10.998258830506,-74.79813082423,2020-08-16 21:33:03.016689,2020-08-16 21:32:36.000000,2020-08-16 21:42:36.000000,2020-08-16 21:38:17.000000,2020-08-16 21:54:17.000000
106435709.0,10.990374,-74.805045,10.988509,-74.797011,2020-08-16 21:13:05.233461,2020-08-16 21:12:09.000000,2020-08-16 21:22:09.000000,2020-08-16 21:25:34.000000,2020-08-16 21:41:34.000000
106431543.0,11.00868,-74.81786,11.013522,-74.825355,2020-08-16 21:10:05.986283,2020-08-16 21:11:20.000000,2020-08-16 21:21:20.000000,2020-08-16 21:04:20.000000,2020-08-16 21:20:20.000000
106431801.0,11.005109,-74.81515,11.0111004,-74.8082334,2020-08-16 20:58:05.610340,2020-08-16 20:57:46.000000,2020-08-16 21:07:46.000000,2020-08-16 21:08:20.000000,2020-08-16 21:24:20.000000
106432844.0,11.016808,-74.824119,11.002587,-74.814751,2020-08-16 21:00:05.718357,2020-08-16 20:59:27.000000,2020-08-16 21:09:27.000000,2020-08-16 21:20:17.000000,2020-08-16 21:36:17.000000
106438141.0,10.9902558,-74.78842415,10.991020074974,-74.817772025092,2020-08-16 21:36:02.921414,2020-08-16 21:42:35.000000,2020-08-16 21:52:35.000000,2020-08-16 21:39:27.000000,2020-08-16 21:55:27.000000
106435436.0,11.00487406278,-74.809398678878,11.003059638517,-74.828803048758,2020-08-16 21:25:05.183618,2020-08-16 21:24:12.000000,2020-08-16 21:34:12.000000,2020-08-16 21:26:26.000000,2020-08-16 21:42:26.000000
106431940.0,11.002189,-74.821123,11.01617,-74.824532,2020-08-16 21:10:05.986214,2020-08-16 21:10:07.000000,2020-08-16 21:20:07.000000,2020-08-16 21:11:51.000000,2020-08-16 21:27:51.000000
106431416.0,10.9202915,-74.8158267,10.948197,-74.7982101,2020-08-16 21:20:04.449368,2020-08-16 21:19:06.000000,2020-08-16 21:29:06.000000,2020-08-16 21:09:55.000000,2020-08-16 21:25:55.000000
106432913.0,11.017026134642,-74.824165871021,11.015609,-74.822517,2020-08-16 21:04:05.226539,2020-08-16 21:12:55.000000,2020-08-16 21:22:55.000000,2020-08-16 21:15:33.000000,2020-08-16 21:31:33.000000
106437329.0,11.002557498627,-74.827872855208,11.008126599066,-74.819619655609,2020-08-16 21:22:03.360779,2020-08-16 21:25:28.000000,2020-08-16 21:35:28.000000,2020-08-16 21:35:21.000000,2020-08-16 21:51:21.000000
106438834.0,11.003195143514,-74.809790816865,11.007913,-74.80929,2020-08-16 21:45:02.580497,2020-08-16 21:43:56.000000,2020-08-16 21:53:56.000000,2020-08-16 21:54:09.000000,2020-08-16 22:10:09.000000
106440137.0,11.013526,-74.827335,11.0119331,-74.8348246,2020-08-16 21:38:02.251870,2020-08-16 21:37:49.000000,2020-08-16 21:47:49.000000,2020-08-16 21:50:16.000000,2020-08-16 22:06:16.000000
106437592.0,11.00334049361,-74.808099976687,11.005664,-74.807847,2020-08-16 21:36:02.921355,2020-08-16 21:35:48.000000,2020-08-16 21:45:48.000000,2020-08-16 21:27:38.000000,2020-08-16 21:43:38.000000
106433023.0,11.001148899255,-74.808211277281,11.001869,-74.806496,2020-08-16 21:02:03.737993,2020-08-16 21:00:59.000000,2020-08-16 21:10:59.000000,2020-08-16 21:15:59.000000,2020-08-16 21:31:59.000000
106437451.0,11.021773018859,-74.810744345605,11.008859519628,-74.837517030537,2020-08-16 21:55:02.707343,2020-08-16 22:04:28.000000,2020-08-16 22:14:28.000000,2020-08-16 21:35:59.000000,2020-08-16 21:51:59.000000
106438461.0,10.994458508516,-74.811661205453,10.9748106,-74.8153497,2020-08-16 21:41:02.778261,2020-08-16 21:40:17.000000,2020-08-16 21:50:17.000000,2020-08-16 21:41:02.000000,2020-08-16 21:57:02.000000
106437137.0,11.005208354733,-74.801445306134,11.001031623136,-74.792558513582,2020-08-16 21:45:02.580522,2020-08-16 21:44:28.000000,2020-08-16 21:54:28.000000,2020-08-16 21:34:32.000000,2020-08-16 21:50:32.000000
